Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
PRKX-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKXP1	90	136	43	32	73	48	297	521	19	56	25	54	24	66	77	135	96	209	36
PRKY	5604	4444	3539	15	6208	15	9652	29620	2753	3893	9	9025	0	3234	2494	14	3	5	2994
PRL	0	9	1	3	11	5	16	13	0	4	8	3	5	1	2	42	6	573	13
PRLH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRLHR	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRLR	6	3	4	0	0	2	1	1	0	0	2	7	0	13	0	2	1	1	1
PRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRMT1	4951	6673	7114	4481	17807	7587	6842	17563	5460	5312	3650	8578	3075	5790	4000	6782	3415	8228	3153
PRMT1P1	0	4	0	4	8	6	8	5	4	0	5	3	0	1	6	3	2	7	0
PRMT2	5875	8547	5543	4076	14908	6096	8486	18877	5965	6528	5315	5794	3304	4845	3579	7897	3774	3797	909
PRMT3	642	773	782	832	926	695	1089	1579	530	756	737	716	231	373	345	387	522	827	602
PRMT5	2447	2742	3251	1898	6398	3611	2234	9299	2249	4359	1769	2718	1309	2752	2303	3461	1345	2790	1177
PRMT5-AS1	5	1	7	4	2	1	5	8	8	8	3	1	0	3	4	1	1	3	4
PRMT5P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRMT6	1296	1510	1499	822	2794	2234	642	2573	316	1307	869	426	317	293	770	1766	358	563	208
PRMT7	3816	3407	3323	2672	7991	4982	5545	7081	1876	1667	2488	1985	1262	1891	1305	2968	1579	3614	1067
PRMT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRMT9	775	813	800	992	1043	768	1383	1938	461	606	1541	1026	483	490	353	743	867	629	428
PRNCR1	7	12	5	17	6	6	11	23	10	0	6	5	2	2	3	6	7	7	7
PRND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRNP	2656	1455	1631	5757	2773	2112	11149	7672	15295	2839	18080	11470	2834	3172	3218	3337	7837	7853	10806
PRNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRO1804	4	0	1	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0
PROB1	175	304	275	256	659	173	231	551	357	164	234	202	97	108	104	268	143	374	105
PROC	3	2	5	3	8	5	2	2	2	1	5	1	2	7	4	0	0	6	0
PROCA1	1462	1954	1260	1191	3904	1965	1276	3592	896	1483	967	712	692	610	1400	1948	1039	1301	186
PROCR	49	17	192	20	66	7	24	104	87	14	10	43	35	55	53	30	34	63	169
PRODH	4	0	1	0	3	2	3	10	2	0	3	5	1	6	2	3	11	0	7
PRODH2	2789	165	97	293	22894	566	0	4	0	0	1	0	0	0	2	3	0	0	0
PROK1	0	1	0	3	2	1	1	2	3	1	1	1	1	1	0	1	1	2	0
PROK2	122	4	0	3	0	2	11	3	6	0	10	6	1	2	1	6	7	0	0
PROKR1	2	2	1	4	6	2	6	11	1	0	9	2	4	1	4	0	2	1	3
PROKR2	3	0	0	1	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0
PROM1	2474	3246	494	182	2151	1609	115	34625	3379	2263	1257	8866	193	2687	3503	1099	1418	5	11
PROM2	109	35	55	58	350	93	106	139	56	20	30	44	25	26	10	15	24	96	17
PROP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRORSD1P	313	410	360	119	465	402	66	213	192	127	101	80	37	108	86	154	83	341	44
PRORY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROS1	35	23	71	47	213	31	13	28	8	0	7	51	18	54	13	32	20	40	24
PROS2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PROSC	1436	1855	2052	563	4312	2424	824	3903	617	1762	436	614	512	964	1423	1538	344	1183	333
PROSER1	3846	4725	4692	4609	5976	4098	5313	5609	2034	2129	4330	2687	883	1532	1489	2624	2279	5405	2205
PROSER2	271	228	101	328	1172	354	186	821	304	21	319	1154	98	147	132	82	220	432	396
PROSER2-AS1	6	1	1	3	7	2	2	5	1	0	0	10	0	0	0	1	1	5	0
PROSER3	1430	1325	1606	1015	2754	1885	1162	2376	604	818	852	601	299	398	419	1148	398	814	459
PROX1	0	3	0	0	0	1	2	2	4	0	0	0	9	0	0	1	0	0	0
PROX1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROX2	11	8	7	7	2	1	2	8	2	3	2	10	2	8	2	10	7	5	1
PROZ	2	0	0	0	5	3	0	477	1	0	4	0	1	0	11	75	0	0	1
PRPF18	344	351	381	382	780	312	297	929	346	346	348	504	142	414	244	341	245	384	186
PRPF19	5107	5255	6210	3724	13149	6821	4294	11622	2167	3827	2111	3744	1684	3315	2491	4024	2023	6770	3461
PRPF19P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF3	5731	7378	5476	8492	12345	9577	8132	7772	5673	2519	6984	4992	1844	3021	1813	6677	3753	6569	3349
PRPF31	3142	3011	3200	3571	7976	3667	4498	6907	2069	2041	2728	3104	1357	2193	1491	3108	2024	4456	1608
PRPF38A	4083	4705	4842	3506	8668	5461	3376	7775	2472	2389	1990	2580	1042	2185	1731	3630	2022	5247	2541
PRPF38AP1	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRPF38AP2	0	0	0	1	4	0	0	0	0	0	0	1	0	0	1	0	0	1	0
PRPF38B	9428	9800	8715	9777	12910	8924	9167	10811	4762	4118	7967	6488	2332	4342	3644	6552	3911	7883	7427
PRPF39	3733	4561	4045	3372	5831	4411	3928	8085	2491	3589	4254	3720	1443	1901	2105	3319	2733	2488	1458
PRPF4	1844	2198	2244	1818	3869	2942	1811	4404	794	1562	2655	1865	722	1107	1131	2034	1306	1829	1905
PRPF40A	8748	9842	11804	13111	10480	8265	11987	12821	10780	5140	13003	8544	2461	4009	3650	4820	7371	10528	9079
PRPF40B	544	472	582	255	604	393	317	1120	181	315	138	245	185	236	201	346	164	550	122
PRPF4B	12732	13056	15621	16037	18539	12510	26779	27278	12976	7552	19644	12965	4991	6125	4595	7162	13038	15985	10599
PRPF6	5036	6611	5542	3128	14017	7966	4184	11127	3840	3886	2392	4303	2286	4253	2371	5488	1861	4689	2036
PRPF8	21655	25479	25799	38525	42699	26689	42867	74242	36599	24511	53761	49077	13987	24269	15136	33553	30412	32761	25734
PRPH	0	0	0	0	0	0	2	0	0	0	4	0	2	1	0	0	1	3	3
PRPH2	197	125	0	2	55	5	0	77	1	0	1	1	0	0	0	0	1	1	0
PRPS1	2358	2987	2489	3712	5467	3978	5907	10130	3038	4354	5926	5658	2124	3562	2878	6308	3607	3314	1831
PRPS1L1	1	1	0	0	3	5	1	2	0	2	1	0	0	1	0	2	0	1	0
PRPS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPS1P2	1	2	0	0	0	1	2	4	0	1	2	0	0	0	0	5	1	0	3
PRPS2	469	396	746	447	687	475	1866	6806	1691	1987	1407	2012	958	999	1650	1899	1279	694	674
PRPSAP1	2311	2274	2348	1190	7936	3945	2080	5369	1469	2225	835	1697	1423	1517	1236	3066	968	1552	373
PRPSAP2	2240	2012	1775	1573	4050	2219	1611	4500	1834	2530	1289	1458	745	1400	1344	2337	945	1102	544
PRR11	575	740	625	619	2048	1525	1012	5834	1495	1536	695	1371	850	940	990	1189	869	1086	612
PRR12	3863	4300	5361	2705	7884	4010	5650	8266	1492	2080	1812	2037	1148	1771	1509	3216	1162	2790	414
PRR13	2011	2902	2146	1382	4164	2513	2187	4425	1743	1468	1620	1929	848	1183	1112	1983	1219	1550	395
PRR13P1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
PRR13P2	1	1	18	6	0	3	12	11	1	0	1	0	0	4	0	1	4	2	1
PRR13P3	1	3	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
PRR13P4	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
PRR13P5	11	28	8	13	76	29	6	29	19	16	27	28	10	21	15	46	19	24	7
PRR13P7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRR14	2810	3120	3958	4281	6036	3061	2825	4545	2524	1188	2026	3472	984	2383	1302	2859	1790	3800	1910
PRR14L	4670	4867	4488	2187	7760	3670	2068	7657	1232	1695	1446	1652	784	1358	1391	5240	1288	2320	462
PRR15	7	0	1	0	1	0	2	2	7	0	3	1	0	6	0	6	1	3	0
PRR15L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
PRR18	0	0	0	1	0	3	0	0	4	0	6	1	1	0	0	2	2	1	0
PRR19	17	16	16	16	37	22	14	49	8	66	11	17	3	18	11	14	8	19	18
PRR20A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20FP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR22	165	172	295	249	274	333	223	306	107	108	222	139	64	75	78	159	100	210	73
PRR23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23D2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR25	1	1	3	0	0	0	0	1	0	2	1	1	0	2	0	1	0	7	1
PRR26	3	2	2	0	5	1	8	0	0	0	0	0	0	22	0	0	0	0	0
PRR27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR29	365	1042	358	1040	1679	732	60	287	143	39	54	41	39	78	31	75	82	21	5
PRR29-AS1	40	93	39	116	120	115	39	73	25	34	74	20	11	28	11	25	21	13	10
PRR3	567	938	1211	323	1944	1209	640	2478	386	840	480	414	267	321	405	755	285	563	150
PRR30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR31	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0
PRR32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR34	11	15	9	29	8	12	9	24	4	18	8	14	7	13	14	19	3	27	1
PRR34-AS1	34	42	17	65	51	26	65	18	31	11	21	20	13	25	19	21	12	82	16
PRR35	2	2	1	2	0	3	7	0	1	0	0	0	2	0	0	0	0	11	5
PRR36	107	101	76	56	133	68	12	1	1	2	3	6	1	3	0	8	0	5	3
PRR4	61	32	139	53	99	43	52	112	12	22	24	18	1	16	14	21	16	30	6
PRR5	488	206	374	122	863	156	169	743	71	61	56	261	134	534	48	197	94	485	61
PRR5-ARHGAP8	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRR5L	3230	2304	2177	924	4098	1959	237	911	328	217	157	648	49	349	341	417	240	2260	494
PRR7	144	164	73	307	252	156	1147	592	1074	286	708	396	281	307	203	488	267	576	230
PRR7-AS1	7	16	9	4	21	8	7	16	3	8	3	2	1	1	1	2	3	8	6
PRR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRC1	3518	3771	3759	6303	3739	3316	3631	6352	1759	3224	3931	2099	929	1014	1764	2179	2221	2185	732
PRRC2A	29141	35743	32805	34652	80009	36549	63161	87727	34139	26715	38072	39963	17115	22843	12776	27436	25929	36794	22689
PRRC2B	27840	30894	26421	20707	55261	25230	35679	51018	10759	9282	23384	15427	5779	8716	6874	17609	10218	18834	13517
PRRC2C	20513	21311	24409	24400	29185	14815	27435	29498	22256	7732	20873	19536	5013	11104	5382	11695	13082	20916	17505
PRRC2CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRG1	233	197	366	155	1	169	7	0	0	17	0	0	123	3	0	0	1	19	102
PRRG2	71	75	159	32	221	65	52	77	21	26	40	23	13	23	31	18	8	40	13
PRRG3	0	4	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRG4	15	1	51	8	2	2	0	18	36	2	2	11	1	3	1	6	2	3	4
PRRT1	70	41	40	174	106	56	374	215	99	60	625	165	120	146	51	73	205	120	96
PRRT2	20	56	9	18	30	40	79	193	12	16	9	78	27	15	6	86	9	8	14
PRRT3	224	281	99	309	184	253	494	1013	153	122	191	226	148	140	231	301	236	178	53
PRRT3-AS1	45	13	21	18	43	3	24	89	15	28	11	5	14	6	6	19	2	28	4
PRRT4	202	133	78	801	494	602	194	207	119	32	93	67	41	48	66	162	30	247	94
PRRX1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRX2	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
PRRX2-AS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRSS1	38	303	2	31	154	8	2	4	0	7	6	1	2	16	4	28	4	0	2
PRSS12	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
PRSS16	7	0	1	3	1	2	1	0	0	1	0	0	14	0	0	3	1	0	0
PRSS21	494	1	8	1056	15	16	33	4	453	3	4	26	1	10	3	27	12	13	3
PRSS22	3	7	1	0	1	4	2	2	3	0	0	3	0	5	0	3	1	5	1
PRSS23	917	66	29	36	25	15	96	21	6	21	42	53	3	22	24	197	12	15	8
PRSS27	100	63	148	80	88	43	170	240	35	73	124	93	62	23	29	80	51	134	38
PRSS29P	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS3	14	125	0	11	35	1	0	0	1	0	3	1	0	7	0	3	1	0	0
PRSS30P	78	7	4	7	17	10	19	4	0	2	2	6	1	14	2	64	6	6	0
PRSS33	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	1
PRSS35	1	0	1	2	2	1	12	2	5	0	2	1	6	0	0	10	1	0	1
PRSS36	36	100	18	15	35	63	54	94	37	8	42	46	25	14	31	71	25	23	3
PRSS37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS38	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PRSS3P1	5	76	0	6	55	2	2	0	0	0	0	0	0	5	1	3	0	0	1
PRSS3P2	3	84	0	12	37	0	2	0	1	0	1	0	0	5	0	3	0	0	0
PRSS3P3	1	1	8	1	3	0	2	0	0	0	0	0	0	0	0	0	1	1	0
PRSS3P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS41	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
PRSS42	28	9	36	13	54	13	25	70	15	35	36	9	8	12	5	28	19	43	6
PRSS44	18	4	8	16	16	16	8	17	34	2	16	7	5	4	7	10	6	6	1
PRSS45	26	10	12	43	57	16	18	45	53	26	28	22	29	10	11	13	32	18	8
PRSS46	14	2	5	14	12	4	7	5	6	5	5	2	1	0	1	0	3	0	2
PRSS48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS50	28	10	9	128	57	29	46	20	39	0	24	7	10	4	7	11	9	26	6
PRSS51	7	0	0	47	8	3	1	2	0	0	3	3	0	3	4	0	0	7	3
PRSS53	366	352	418	262	719	409	375	536	178	141	242	187	121	231	122	214	149	334	88
PRSS54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS55	0	0	14	61	4	0	3	0	3	0	4	0	0	0	0	1	0	3	3
PRSS56	1	0	0	0	1	0	1	0	0	0	3	0	0	2	0	6	0	0	0
PRSS57	207	297	47	418	169	130	160	619	628	34	127	694	106	269	119	85	278	1766	84
PRSS58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS8	7	1	1	0	3	2	4	4	0	3	0	0	0	0	0	0	0	0	0
PRTFDC1	10	14	8	8	38	2	9	459	67	13	49	110	26	73	109	10	32	7	5
PRTG	21	0	1	2	407	3	0	0	0	0	1	0	1	0	0	1	0	0	0
PRTN3	97	11	30	31	56	57	11	9	3	30	103	122	12	124	16	43	88	11	3
PRUNE1	1560	1811	1614	670	3347	1847	402	2296	233	824	281	312	294	283	458	1497	182	330	61
PRUNE2	586	0	291	356	5	0	16	336	19	5	225	125	162	4	76	367	1	180	251
PRUNEP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRX	2173	3575	2119	1693	2400	6749	1949	1856	1840	365	1031	680	926	1894	3948	346	694	109	32
PRY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRYP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAP	15931	15374	15982	12928	36214	16422	32581	68770	22887	14457	24093	39995	13024	24326	19153	24305	19390	14470	5157
PSAPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1	116	236	31	446	227	110	91	372	22	805	28	27	24	52	419	572	27	29	9
PSAT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1P3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PSAT1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSCA	2	27	0	18	54	18	19	34	32	6	37	19	10	11	38	1	11	100	13
PSD	165	65	297	308	76	148	66	94	61	69	80	80	20	62	25	214	69	36	51
PSD2	25	18	22	43	9	9	72	18	9	2	7	9	15	14	0	73	20	300	120
PSD3	9009	23538	17672	8030	11853	14119	5952	12985	3917	3870	9937	3494	2596	1983	7605	8096	2922	1505	4131
PSD4	6651	6067	4357	3289	14860	4365	4969	14755	5268	6874	2638	4205	2130	3283	2811	10359	2910	12501	1217
PSEN1	3455	6033	4660	2697	6727	4343	4583	10059	2452	3815	4045	3096	1232	1497	2187	5267	1853	2184	858
PSEN2	107	137	157	150	186	136	30	39	119	18	39	26	3	23	15	63	4	20	10
PSENEN	249	294	312	204	598	347	147	351	105	104	71	93	34	109	82	150	64	193	56
PSG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PSG4	38	0	0	1	0	0	0	0	0	0	0	1	0	52	0	0	0	0	4
PSG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSIP1	7033	7928	8689	6600	10283	7623	7097	15455	4191	6420	6484	4362	2594	2670	4101	6177	3097	5935	2474
PSKH1	1764	2098	3386	869	5119	2052	1422	3712	607	1206	612	799	419	770	892	1933	479	1184	263
PSKH2	17	14	1	447	280	52	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA1	1078	1181	745	1711	811	1270	1923	1577	967	598	1658	1279	500	402	508	598	1032	839	964
PSMA2	513	402	332	553	292	366	730	713	204	249	293	206	120	195	150	155	161	385	185
PSMA2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PSMA2P3	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	1	0
PSMA3	2193	2771	3568	2291	3406	2554	2222	5673	1760	3902	2873	2266	788	1745	1454	2255	1447	2391	1184
PSMA3-AS1	9102	7094	8861	8232	7538	7762	11391	14459	5966	6408	15326	5454	2549	3049	4293	6992	6199	8980	4719
PSMA3P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
PSMA4	3749	5533	4636	3827	8766	5429	4332	11100	2828	4920	4481	3821	1725	2921	2829	5728	2833	5348	1476
PSMA5	3113	3949	4530	2169	8757	3702	1733	5652	1476	2625	1039	1469	837	1523	1191	2711	900	3501	878
PSMA6	1876	2224	1636	1820	2700	1980	8537	5114	7698	2191	5311	3252	1024	2353	1898	934	3024	3720	1255
PSMA6P1	18	75	14	55	105	74	84	117	104	50	68	45	25	41	43	42	29	100	41
PSMA6P2	0	1	0	3	0	2	5	6	1	0	0	1	0	0	4	0	1	4	1
PSMA6P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA6P4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PSMA7	3816	4966	4055	2844	11792	4696	4714	10504	3884	4836	3913	4751	1591	4358	2539	4740	2651	6169	3418
PSMA8	35	4	0	2	192	0	3	2	1	0	0	2	63	1	1	3	1	1	0
PSMB1	3431	5149	2595	4567	8383	4599	9202	12147	5376	4907	9546	7726	2759	5269	2204	4145	4754	6663	3031
PSMB10	1567	2481	3257	1134	4234	2525	1220	2901	1597	1490	719	1145	562	922	781	1572	580	1720	477
PSMB11	0	0	1	1	0	0	2	2	0	0	2	1	1	0	0	3	0	0	0
PSMB2	3032	3731	4645	3143	7625	3622	4535	6993	2578	3206	4191	3680	1451	2244	1958	3220	2705	4406	2173
PSMB3	2656	2864	2898	2263	7137	3572	2712	8017	2564	3446	2499	2930	1283	2900	1750	3686	2139	2719	817
PSMB3P2	0	1	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0
PSMB4	7285	7391	7589	9442	17210	8058	11260	12218	11929	4906	9580	10244	3045	7397	3566	7096	6785	11408	5753
PSMB5	1468	1419	1990	1145	6077	1813	1442	4376	799	1786	1127	1083	493	830	970	1206	676	1115	465
PSMB6	3260	3447	3909	3068	9593	3917	3107	8530	3880	4176	2850	3880	1570	3668	2073	4112	2214	3567	1220
PSMB7	2639	3290	2568	2694	7451	3730	3237	6499	3025	2821	3432	3294	1428	2956	1466	3023	1775	5014	2056
PSMB7P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB8	8451	9554	11814	8103	20435	10512	7341	19745	6576	7895	5937	6956	3449	7042	3202	7271	3306	6247	2249
PSMB8-AS1	3463	3991	4331	1583	8040	4322	1653	11461	882	4591	1027	1688	1589	1673	2154	5253	1055	1443	280
PSMB9	4876	4910	8472	2899	13232	6768	3498	7561	3661	4576	1340	2889	1674	3913	1331	3472	1456	3191	811
PSMC1	2349	2693	2659	3314	4849	2761	4235	6858	2959	3740	7472	3884	1378	2685	1823	2934	2921	4202	3240
PSMC1P1	19	23	18	30	41	34	23	45	40	45	114	47	24	33	17	50	37	45	33
PSMC1P10	0	3	0	1	2	2	1	3	0	1	2	1	1	0	0	0	1	0	2
PSMC1P11	0	3	0	1	7	3	1	5	0	2	1	3	0	0	0	0	2	0	3
PSMC1P12	0	1	0	0	1	1	0	1	1	2	5	0	0	1	1	1	0	1	1
PSMC1P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC1P2	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	2	1	0
PSMC1P3	2	5	3	2	10	3	1	4	2	1	4	5	1	1	1	0	2	8	0
PSMC1P4	0	0	0	0	0	1	0	1	1	0	1	2	0	0	1	1	1	1	0
PSMC1P5	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0
PSMC1P6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC1P7	2	0	0	0	3	4	0	3	2	2	2	1	0	2	1	0	2	1	0
PSMC1P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC1P9	1	8	3	3	3	4	2	8	1	4	6	2	1	2	0	2	0	4	0
PSMC2	2234	2789	2597	4981	3824	2747	4702	4532	3257	2821	5987	4577	1289	2424	1152	2073	3518	3722	2382
PSMC3	3396	4055	4113	3719	11088	5231	3552	6755	3317	3082	2968	3734	1272	3069	1637	3318	1901	4226	2291
PSMC3IP	553	683	481	833	2020	1275	1160	3077	801	1040	793	791	438	444	754	1154	620	575	239
PSMC4	2455	2767	2990	2904	7444	3171	2770	5082	2260	2225	2546	2906	1060	2515	1361	2774	1657	3558	2912
PSMC5	5716	6818	7123	4838	15814	6642	5734	16087	7346	5778	6367	7683	3378	6025	4431	8430	4203	7625	2563
PSMC6	5157	4983	4856	7541	6887	4796	12496	10687	6283	5453	15482	7699	2741	3861	2704	4247	6384	5930	3786
PSMD1	2741	3404	3235	1899	6043	3625	2240	8360	1821	3063	1654	2250	915	2047	1886	3132	1200	2301	1255
PSMD10	1182	1730	1573	1071	2400	1898	1739	6782	827	2663	2795	1723	988	1161	1653	2576	1658	610	318
PSMD10P1	100	49	28	86	22	22	97	36	67	10	24	22	6	11	6	23	17	84	8
PSMD10P2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0
PSMD10P3	1	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
PSMD11	3057	3256	3745	4013	5388	3218	4972	10611	4345	3501	6752	5833	1637	2878	2029	3661	3924	3894	3831
PSMD12	1892	2053	2959	2448	2481	2081	3424	4801	2383	1639	5003	2624	770	1276	1091	1481	2434	1798	2899
PSMD12P	0	0	1	0	1	0	1	2	0	3	2	2	0	0	0	0	2	1	1
PSMD13	5062	6175	5349	5530	12524	6667	6575	11933	3538	4056	5269	4714	2112	3368	2630	5151	3024	5784	2378
