,length
ENSG00000173699,2856
ENSG00000204128,3818
ENSG00000173692,15795
ENSG00000135914,2170
ENSG00000135931,11672
ENSG00000156966,3639
ENSG00000115053,8919
ENSG00000171596,3221
ENSG00000177673,1413
ENSG00000187514,3381
ENSG00000156973,2824
ENSG00000144524,6066
ENSG00000163273,1075
ENSG00000144535,11337
ENSG00000163283,2869
ENSG00000163286,2492
ENSG00000163295,3351
ENSG00000171551,2978
ENSG00000237412,2462
ENSG00000135902,3132
ENSG00000196811,4362
ENSG00000221944,6675
ENSG00000135930,6555
ENSG00000115468,2675
ENSG00000204120,15476
ENSG00000115474,3636
ENSG00000182600,3698
ENSG00000066248,4647
ENSG00000115488,1143
ENSG00000168918,8681
ENSG00000085978,6047
ENSG00000130561,11885
ENSG00000077044,9784
ENSG00000085982,9355
ENSG00000242366,2407
ENSG00000242515,3157
ENSG00000241119,2371
ENSG00000244122,4167
ENSG00000167165,5156
ENSG00000240224,2345
ENSG00000244474,2565
ENSG00000243135,2364
ENSG00000241635,4446
ENSG00000185038,5730
ENSG00000123485,3821
ENSG00000144481,7928
ENSG00000072080,1265
ENSG00000188042,4041
ENSG00000130147,7085
ENSG00000157985,13956
ENSG00000168505,2332
ENSG00000182177,5554
ENSG00000132321,5968
ENSG00000144476,2070
ENSG00000198612,4181
ENSG00000163359,19465
ENSG00000115648,7435
ENSG00000071677,264
ENSG00000124839,4761
ENSG00000124831,13218
ENSG00000177483,6049
ENSG00000132329,1147
ENSG00000184182,4238
ENSG00000258984,3195
ENSG00000132330,11698
ENSG00000144488,5179
ENSG00000168427,3780
ENSG00000178752,3584
ENSG00000132323,4749
ENSG00000144485,1954
ENSG00000132326,6872
ENSG00000204104,4614
ENSG00000065802,7407
ENSG00000233608,1869
ENSG00000068024,13377
ENSG00000130414,19359
ENSG00000182083,1492
ENSG00000178586,1097
ENSG00000172428,2037
ENSG00000178602,645
ENSG00000063660,6522
ENSG00000144504,11477
ENSG00000188542,4951
ENSG00000142327,7970
ENSG00000142330,7456
ENSG00000178623,5090
ENSG00000185176,3303
ENSG00000184945,1736
ENSG00000130294,17879
ENSG00000172482,4114
ENSG00000172478,2772
ENSG00000226321,5978
ENSG00000162804,13812
ENSG00000122085,9938
ENSG00000115687,10665
ENSG00000115685,3781
ENSG00000146205,5695
ENSG00000115677,12160
ENSG00000168385,7378
ENSG00000006607,14371
ENSG00000115694,7588
ENSG00000176720,2680
ENSG00000176946,2856
ENSG00000168397,6638
ENSG00000168393,2399
ENSG00000168395,10259
ENSG00000180902,5256
ENSG00000154252,1452
ENSG00000204099,4449
ENSG00000188389,2097
ENSG00000188011,2606
ENSG00000216921,687
ENSG00000134121,11694
ENSG00000134115,5507
ENSG00000144619,9123
ENSG00000091181,6602
ENSG00000072756,5802
ENSG00000113851,8068
ENSG00000144455,6944
ENSG00000175928,6401
ENSG00000170364,3567
ENSG00000150995,32454
ENSG00000134107,3516
ENSG00000134108,3546
ENSG00000134109,6737
ENSG00000196277,8214
ENSG00000071282,9025
ENSG00000125046,6279
ENSG00000182533,1947
ENSG00000180914,4541
ENSG00000070950,6984
ENSG00000196220,18924
ENSG00000134077,5236
ENSG00000168137,12378
ENSG00000156959,5349
ENSG00000163719,6019
ENSG00000144550,2316
ENSG00000156983,6099
ENSG00000114026,8733
ENSG00000134072,2715
ENSG00000171148,4234
ENSG00000241553,2607
ENSG00000250151,2765
ENSG00000214021,10404
ENSG00000156990,5348
ENSG00000187288,1960
ENSG00000171135,1779
ENSG00000163701,4673
ENSG00000163702,4540
ENSG00000288550,2312
ENSG00000163703,3795
ENSG00000163704,3953
ENSG00000125037,4270
ENSG00000144554,8380
ENSG00000163705,1919
ENSG00000254999,1150
ENSG00000134086,4890
ENSG00000134070,3431
ENSG00000157014,5572
ENSG00000272410,2977
ENSG00000157017,2073
ENSG00000157020,5380
ENSG00000157087,10260
ENSG00000132164,6680
ENSG00000157103,18242
ENSG00000196639,5581
ENSG00000197548,8833
ENSG00000144560,7228
ENSG00000144559,5925
ENSG00000157152,6329
ENSG00000157150,1194
ENSG00000132170,4535
ENSG00000154743,12407
ENSG00000225526,3049
ENSG00000075975,9783
ENSG00000132155,7746
ENSG00000088726,3297
ENSG00000144712,5587
ENSG00000144711,10181
ENSG00000132182,8195
ENSG00000163517,5231
ENSG00000163520,4818
ENSG00000154764,4529
ENSG00000163528,1772
ENSG00000170876,3498
ENSG00000268279,1335
ENSG00000154767,4636
ENSG00000170860,3359
ENSG00000131389,8254
ENSG00000144596,11889
ENSG00000154781,3556
ENSG00000131379,3452
ENSG00000154783,8099
ENSG00000177463,11821
ENSG00000131368,5371
ENSG00000131381,7921
ENSG00000131375,5596
ENSG00000131370,4616
ENSG00000206562,6975
ENSG00000144597,4909
ENSG00000206561,9237
ENSG00000131373,3060
ENSG00000169814,17103
ENSG00000206560,11276
ENSG00000131386,6401
ENSG00000154813,4476
ENSG00000154814,6095
ENSG00000131378,4769
ENSG00000092345,3555
ENSG00000154822,5160
ENSG00000131374,11269
ENSG00000182568,13419
ENSG00000183960,6088
ENSG00000163576,4163
ENSG00000144566,3767
ENSG00000183977,2494
ENSG00000114166,5211
ENSG00000129810,3742
ENSG00000151789,13400
ENSG00000182247,3241
ENSG00000170142,3346
ENSG00000197885,5107
ENSG00000174738,5793
ENSG00000151090,10968
ENSG00000077092,3697
ENSG00000077097,6044
ENSG00000151092,8616
ENSG00000151093,2476
ENSG00000179796,8920
ENSG00000163491,9582
ENSG00000033867,9616
ENSG00000163508,3656
ENSG00000187118,10533
ENSG00000163512,6272
ENSG00000206559,4533
ENSG00000283563,3535
ENSG00000144642,18437
ENSG00000163513,6850
ENSG00000144644,7330
ENSG00000163527,5006
ENSG00000144645,12071
ENSG00000197385,3379
ENSG00000152642,4697
ENSG00000170293,1170
ENSG00000153551,3724
ENSG00000091317,3857
ENSG00000144635,6113
ENSG00000182973,4846
ENSG00000206557,8704
ENSG00000183813,3025
ENSG00000170266,4335
ENSG00000188167,4311
ENSG00000170275,6660
ENSG00000173705,4602
ENSG00000153558,7644
ENSG00000153560,9760
ENSG00000163539,15214
ENSG00000170248,8819
ENSG00000172995,10092
ENSG00000144681,4237
ENSG00000163673,5574
ENSG00000168016,12134
ENSG00000178567,8089
ENSG00000076242,7970
ENSG00000093167,10674
ENSG00000144674,10737
ENSG00000144668,8270
ENSG00000144677,5876
ENSG00000136059,6476
ENSG00000187091,4194
ENSG00000008226,8338
ENSG00000060971,7106
ENSG00000172936,3989
ENSG00000172939,6071
ENSG00000172940,2997
ENSG00000144671,3659
ENSG00000093217,6327
ENSG00000114739,15705
ENSG00000157036,5575
ENSG00000183873,10028
ENSG00000185313,6730
ENSG00000168356,12516
ENSG00000114742,7473
ENSG00000114745,5816
ENSG00000168026,7677
ENSG00000144655,3230
ENSG00000168334,6467
ENSG00000168329,3656
ENSG00000179934,1484
ENSG00000144659,2662
ENSG00000168314,9237
ENSG00000170011,5868
ENSG00000114784,1889
ENSG00000168032,3586
ENSG00000177873,5331
ENSG00000177842,3783
ENSG00000172888,8943
ENSG00000168036,11759
ENSG00000168038,6279
ENSG00000182606,10799
ENSG00000187094,2063
ENSG00000157093,1018
ENSG00000114812,7384
ENSG00000093183,8159
ENSG00000008324,3118
ENSG00000114857,17309
ENSG00000114853,5685
ENSG00000157119,2499
ENSG00000010282,2888
ENSG00000244607,7071
ENSG00000280571,5715
ENSG00000181061,3024
ENSG00000144648,5460
ENSG00000273291,1654
ENSG00000240747,2917
ENSG00000180432,4174
ENSG00000182983,6352
ENSG00000144649,4442
ENSG00000144647,2671
ENSG00000163788,6981
ENSG00000160746,5285
ENSG00000011198,7539
ENSG00000173769,5334
ENSG00000179152,8743
ENSG00000185219,18886
ENSG00000178917,4478
ENSG00000196345,4208
ENSG00000144792,6513
ENSG00000186448,7995
ENSG00000169981,2658
ENSG00000196653,3273
ENSG00000186446,3910
ENSG00000163807,5216
ENSG00000163808,5281
ENSG00000169964,3071
ENSG00000163810,5443
ENSG00000163812,13405
ENSG00000075914,4429
ENSG00000163815,985
ENSG00000163814,6508
ENSG00000249992,1822
ENSG00000011376,12407
ENSG00000144791,12676
ENSG00000211456,7337
ENSG00000163817,6653
ENSG00000163818,7180
ENSG00000173585,2807
ENSG00000163820,8895
ENSG00000172215,3775
ENSG00000173578,5165
ENSG00000183625,3568
ENSG00000163823,2646
ENSG00000121807,3993
ENSG00000160791,3672
ENSG00000121797,2991
ENSG00000012223,3989
ENSG00000163825,837
ENSG00000163827,5634
ENSG00000241186,2489
ENSG00000283877,291
ENSG00000283473,1826
ENSG00000178038,9059
ENSG00000181585,2159
ENSG00000206549,2960
ENSG00000283706,1332
ENSG00000188086,1290
ENSG00000160808,2804
ENSG00000160801,2783
ENSG00000160799,4754
ENSG00000160796,12058
ENSG00000181555,10245
ENSG00000088727,5481
ENSG00000114648,7064
ENSG00000076201,5975
ENSG00000114650,6288
ENSG00000163832,3264
ENSG00000114646,4367
ENSG00000173473,7624
ENSG00000132153,7744
ENSG00000047849,14943
ENSG00000164045,4145
ENSG00000164047,745
ENSG00000164048,5521
ENSG00000172113,7258
ENSG00000229453,444
ENSG00000164049,3488
ENSG00000164050,9768
ENSG00000164051,2410
ENSG00000232112,1139
ENSG00000164053,5431
ENSG00000213689,1448
ENSG00000164054,4664
ENSG00000114268,6107
ENSG00000145040,1498
ENSG00000114270,11133
ENSG00000010256,3204
ENSG00000183396,576
ENSG00000225697,6373
ENSG00000008300,13850
ENSG00000213672,3431
ENSG00000068745,5624
ENSG00000114302,6665
ENSG00000178537,1898
ENSG00000177479,8017
ENSG00000178467,7637
ENSG00000178252,5304
ENSG00000178149,3686
ENSG00000178057,1727
ENSG00000178035,5123
ENSG00000198218,5328
ENSG00000172053,4703
ENSG00000172046,5723
ENSG00000172037,6865
ENSG00000177352,1791
ENSG00000185909,2171
ENSG00000236980,881
ENSG00000173421,4334
ENSG00000188315,4142
ENSG00000114316,7328
ENSG00000233276,1178
ENSG00000067560,4805
ENSG00000145022,2747
ENSG00000283189,6807
ENSG00000145020,5675
ENSG00000145029,3542
ENSG00000173402,6921
ENSG00000164061,16241
ENSG00000164062,4425
ENSG00000173531,5084
ENSG00000164068,7419
ENSG00000176020,2856
ENSG00000173540,6675
ENSG00000176095,5200
ENSG00000187492,3201
ENSG00000185614,1033
ENSG00000182179,4550
ENSG00000183763,3261
ENSG00000164076,3613
ENSG00000164078,5252
ENSG00000164077,6446
ENSG00000004534,7299
ENSG00000003756,10357
ENSG00000001617,4826
ENSG00000114349,3936
ENSG00000188338,3968
ENSG00000114353,7405
ENSG00000012171,5768
ENSG00000179564,1434
ENSG00000214706,3712
ENSG00000186792,1967
ENSG00000243477,2183
ENSG00000114378,3085
ENSG00000068001,4421
ENSG00000114383,2404
ENSG00000068028,3683
ENSG00000004838,2889
ENSG00000114388,3412
ENSG00000114395,1926
ENSG00000272104,408
ENSG00000126062,2107
ENSG00000007402,6508
ENSG00000088543,3244
ENSG00000114735,19221
ENSG00000114737,5056
ENSG00000114738,3915
ENSG00000088538,9069
ENSG00000145050,2139
ENSG00000259956,6624
ENSG00000145041,6849
ENSG00000164080,11924
ENSG00000164081,5688
ENSG00000164082,7098
ENSG00000214686,520
ENSG00000285749,4167
ENSG00000229972,1832
ENSG00000184345,642
ENSG00000214681,529
ENSG00000173389,763
ENSG00000114767,1542
ENSG00000041880,3198
ENSG00000180929,2119
ENSG00000090097,3738
ENSG00000114779,3161
ENSG00000248487,2378
ENSG00000114786,4761
ENSG00000243989,4727
ENSG00000164086,5669
ENSG00000164087,2274
ENSG00000023330,2536
ENSG00000239732,3352
ENSG00000173366,3804
ENSG00000247596,4211
ENSG00000164088,3607
ENSG00000164091,5719
ENSG00000168237,4794
ENSG00000114841,13872
ENSG00000163930,4718
ENSG00000010318,3364
ENSG00000010319,5047
ENSG00000114854,1141
ENSG00000010322,9062
ENSG00000010327,10588
ENSG00000168268,4799
ENSG00000168273,2481
ENSG00000163939,9654
ENSG00000163938,3238
ENSG00000016864,3785
ENSG00000114902,5121
ENSG00000114904,6393
ENSG00000055957,4541
ENSG00000162267,5921
ENSG00000055955,4659
ENSG00000243696,6334
ENSG00000272573,702
ENSG00000248592,6271
ENSG00000213533,5705
ENSG00000163935,5681
ENSG00000272305,1760
ENSG00000163933,5479
ENSG00000163932,3619
ENSG00000163931,9502
ENSG00000272886,6102
ENSG00000157388,19184
ENSG00000016391,7787
ENSG00000056736,3044
ENSG00000113812,4016
ENSG00000113811,2132
ENSG00000157445,4719
ENSG00000144771,1575
ENSG00000114251,7153
ENSG00000187672,8034
ENSG00000180376,9286
ENSG00000163946,9824
ENSG00000163947,6576
ENSG00000186451,2190
ENSG00000144730,9561
ENSG00000163666,1493
ENSG00000157500,7516
ENSG00000239388,3240
ENSG00000174844,13275
ENSG00000174840,8953
ENSG00000168374,2595
ENSG00000174839,5115
ENSG00000163681,15296
ENSG00000136068,13952
ENSG00000163687,2992
ENSG00000163686,3563
ENSG00000163684,8376
ENSG00000255154,3738
ENSG00000168297,5355
ENSG00000168291,4717
ENSG00000168301,3086
ENSG00000168306,3823
ENSG00000168309,5321
ENSG00000198643,1626
ENSG00000163689,9455
ENSG00000189283,7472
ENSG00000144724,14625
ENSG00000114405,4388
ENSG00000153266,2228
ENSG00000163618,14665
ENSG00000163630,4042
ENSG00000188817,5135
ENSG00000163632,1644
ENSG00000163634,1749
ENSG00000163635,15319
ENSG00000163636,9056
ENSG00000163637,14738
ENSG00000163638,10680
ENSG00000151276,11649
ENSG00000144741,5850
ENSG00000144749,7043
ENSG00000163376,4736
ENSG00000172340,3088
ENSG00000183662,2898
ENSG00000163377,3255
ENSG00000163378,5365
ENSG00000144747,7911
ENSG00000144744,4106
ENSG00000144746,2555
ENSG00000163380,5083
ENSG00000114541,11201
ENSG00000187098,7151
ENSG00000242120,3105
ENSG00000114861,34819
ENSG00000285708,3320
ENSG00000163412,10808
ENSG00000170837,2642
ENSG00000163421,1613
ENSG00000163602,8479
ENSG00000144736,5833
ENSG00000172986,3683
ENSG00000163605,5945
ENSG00000255423,1679
ENSG00000121440,6139
ENSG00000113805,5109
ENSG00000172969,2078
ENSG00000227124,7648
ENSG00000185008,16663
ENSG00000169855,11059
ENSG00000114480,4651
ENSG00000175161,9982
ENSG00000206538,12740
ENSG00000083937,8243
ENSG00000064835,1566
ENSG00000179097,3386
ENSG00000163320,6549
ENSG00000288654,78
ENSG00000175105,6800
ENSG00000179021,3259
ENSG00000283434,3329
ENSG00000044524,6577
ENSG00000184500,5270
ENSG00000169379,6841
ENSG00000178750,1149
ENSG00000178700,4352
ENSG00000178694,8858
ENSG00000269028,1049
ENSG00000080224,6291
ENSG00000113966,4561
ENSG00000080200,10979
ENSG00000170854,6880
ENSG00000183185,5703
ENSG00000196578,930
ENSG00000231192,5999
ENSG00000236032,7365
ENSG00000233412,1229
ENSG00000230301,1197
ENSG00000197938,945
ENSG00000196098,966
ENSG00000206536,966
ENSG00000232382,3552
ENSG00000231861,1060
ENSG00000080822,5210
ENSG00000285635,592
ENSG00000154165,2704
ENSG00000080819,3157
ENSG00000064225,6288
ENSG00000057019,11280
ENSG00000144810,9408
ENSG00000184220,7207
ENSG00000168386,5903
ENSG00000036054,5176
ENSG00000114021,9226
ENSG00000154174,5078
ENSG00000206535,1910
ENSG00000181458,6005
ENSG00000144820,4079
ENSG00000114354,12709
ENSG00000154175,10978
ENSG00000081148,8352
ENSG00000138468,6396
ENSG00000174173,1882
ENSG00000081154,3045
ENSG00000066422,7053
ENSG00000182504,8882
ENSG00000144815,9474
ENSG00000144802,5902
ENSG00000170044,5130
ENSG00000170017,7179
ENSG00000114423,12269
ENSG00000138483,1197
ENSG00000114439,11892
ENSG00000196776,8234
ENSG00000114446,3631
ENSG00000114455,3627
ENSG00000144821,7695
ENSG00000163507,4584
ENSG00000198919,6943
ENSG00000163515,1106
ENSG00000163519,2456
ENSG00000138472,1164
ENSG00000114487,3747
ENSG00000241224,3434
ENSG00000163530,1383
ENSG00000121570,4996
ENSG00000177707,7717
ENSG00000153283,5621
ENSG00000177494,2214
ENSG00000240891,8974
ENSG00000144824,12309
ENSG00000144827,3026
ENSG00000144834,1716
ENSG00000176040,3050
ENSG00000114529,6021
ENSG00000174500,3750
ENSG00000172139,4208
ENSG00000091972,2991
ENSG00000186265,3610
ENSG00000144848,6110
ENSG00000138459,4828
ENSG00000091986,13068
ENSG00000206531,1710
ENSG00000163606,3890
ENSG00000163607,3794
ENSG00000163608,6490
ENSG00000144857,10330
ENSG00000206530,12160
ENSG00000285943,6837
ENSG00000163611,7941
ENSG00000072858,7798
ENSG00000176542,13738
ENSG00000121579,6438
ENSG00000114573,5116
ENSG00000178075,7444
ENSG00000184307,7138
ENSG00000163617,5284
ENSG00000151576,8054
ENSG00000151577,3173
ENSG00000174255,2948
ENSG00000181847,6091
ENSG00000181722,32008
ENSG00000172020,1901
ENSG00000185565,10286
ENSG00000144847,4899
ENSG00000163424,1964
ENSG00000251012,246
ENSG00000114638,2256
ENSG00000121578,6988
ENSG00000031081,9374
ENSG00000176142,5867
ENSG00000163389,7072
ENSG00000113845,2715
ENSG00000121594,3213
ENSG00000144843,4615
ENSG00000144837,2169
ENSG00000121577,2208
ENSG00000138495,1911
ENSG00000183833,7106
ENSG00000285585,2670
ENSG00000144852,5383
ENSG00000082701,17871
ENSG00000175697,6186
ENSG00000163428,7918
ENSG00000163430,8467
ENSG00000065518,1877
ENSG00000113924,2682
ENSG00000144840,6427
ENSG00000153767,3370
ENSG00000145087,11085
ENSG00000051341,9382
ENSG00000186103,5047
ENSG00000163833,5669
ENSG00000180353,5093
ENSG00000173230,11865
ENSG00000173226,3051
ENSG00000145088,1770
ENSG00000163406,5984
ENSG00000145103,2995
ENSG00000114013,3437
ENSG00000036828,12020
ENSG00000121552,1366
ENSG00000160124,1746
ENSG00000114023,3793
ENSG00000196981,4217
ENSG00000114030,8498
ENSG00000138496,8938
ENSG00000163840,5768
ENSG00000173200,5481
ENSG00000173193,10274
ENSG00000169087,5445
ENSG00000138463,3322
ENSG00000082684,8517
ENSG00000065485,4067
ENSG00000121542,4704
ENSG00000173175,8205
ENSG00000206527,5219
ENSG00000065534,22167
ENSG00000175455,11454
ENSG00000065371,4518
ENSG00000160145,24490
ENSG00000114491,7512
ENSG00000082781,6515
ENSG00000173702,3499
ENSG00000173706,9964
ENSG00000221955,5586
ENSG00000163848,10437
ENSG00000114520,2708
ENSG00000144909,4598
ENSG00000189366,843
ENSG00000114547,4032
ENSG00000114544,6590
ENSG00000144908,13712
ENSG00000163884,2814
ENSG00000163885,3382
ENSG00000070476,7329
ENSG00000159650,3444
ENSG00000180767,1917
ENSG00000180697,2168
ENSG00000197763,3780
ENSG00000159685,2757
ENSG00000114554,10944
ENSG00000214324,1740
ENSG00000239620,1085
ENSG00000163870,5621
ENSG00000073111,4715
ENSG00000114631,2175
ENSG00000114626,6155
ENSG00000074416,11849
ENSG00000187715,5818
ENSG00000058262,4640
ENSG00000175792,6998
ENSG00000132394,2394
ENSG00000179407,3645
ENSG00000179348,4475
ENSG00000163902,3965
ENSG00000075785,7194
ENSG00000177646,11841
ENSG00000114656,12033
ENSG00000114654,2945
ENSG00000169704,877
ENSG00000172780,4991
ENSG00000261796,4868
ENSG00000240682,3872
ENSG00000169714,3584
ENSG00000181789,4425
ENSG00000183624,2783
ENSG00000184897,1516
ENSG00000172771,7789
ENSG00000129071,3353
ENSG00000163913,9636
ENSG00000163914,2768
ENSG00000178804,1264
ENSG00000004399,9557
ENSG00000172765,8138
ENSG00000170893,1592
ENSG00000251287,1499
ENSG00000172752,9586
ENSG00000206384,9720
ENSG00000196455,5377
ENSG00000017260,8510
ENSG00000034533,3427
ENSG00000114670,5355
ENSG00000198585,7029
ENSG00000114686,2715
ENSG00000196353,6427
ENSG00000014257,4280
ENSG00000138246,9630
ENSG00000240303,5033
ENSG00000274810,7789
ENSG00000129048,2669
ENSG00000081307,8072
ENSG00000113971,9673
ENSG00000144868,8408
ENSG00000170819,2009
ENSG00000091527,4411
ENSG00000163781,7337
ENSG00000091513,26038
ENSG00000144867,4190
ENSG00000154917,6055
ENSG00000174640,5127
ENSG00000163785,8162
ENSG00000114019,6479
ENSG00000129055,2356
ENSG00000182923,10386
ENSG00000154928,6958
ENSG00000174611,9001
ENSG00000073711,7785
ENSG00000174579,5411
ENSG00000114054,7498
ENSG00000118007,7843
ENSG00000168917,4283
ENSG00000158092,5510
ENSG00000174564,2443
ENSG00000168875,2020
ENSG00000066405,3715
ENSG00000158163,5045
ENSG00000118017,1779
ENSG00000138231,3156
ENSG00000114098,9843
ENSG00000181322,4119
ENSG00000158186,6258
ENSG00000158220,9816
ENSG00000114107,4409
ENSG00000158234,4072
ENSG00000051382,7841
ENSG00000183770,2914
ENSG00000206262,5123
ENSG00000206260,2307
ENSG00000175110,5382
ENSG00000184814,1896
ENSG00000233701,2791
ENSG00000184432,18721
ENSG00000114113,845
ENSG00000114115,3905
ENSG00000163864,12983
ENSG00000158258,14596
ENSG00000155890,2514
ENSG00000114120,10339
ENSG00000175093,3795
ENSG00000155893,13343
ENSG00000177311,14243
ENSG00000155903,6015
ENSG00000114125,3102
ENSG00000285558,756
ENSG00000114124,3239
ENSG00000069849,2617
ENSG00000114126,11897
ENSG00000175066,12143
ENSG00000114127,11982
ENSG00000175054,27234
ENSG00000120756,5288
ENSG00000144935,4808
ENSG00000163710,3533
ENSG00000188582,10807
ENSG00000163714,11297
ENSG00000175040,4142
ENSG00000181804,4041
ENSG00000181744,5463
ENSG00000152952,7663
ENSG00000114698,4231
ENSG00000163746,2709
ENSG00000188313,4332
ENSG00000231213,1271
ENSG00000174963,8517
ENSG00000152977,6825
ENSG00000144891,3478
ENSG00000153002,5703
ENSG00000163751,1815
ENSG00000163754,7551
ENSG00000071794,6024
ENSG00000163755,6202
ENSG00000047457,7072
ENSG00000163762,4357
ENSG00000169908,3495
ENSG00000169903,1530
ENSG00000018408,8353
ENSG00000114744,4895
ENSG00000206199,6544
ENSG00000082996,3573
ENSG00000070087,3709
ENSG00000196428,11676
ENSG00000120742,5743
ENSG00000144895,5905
ENSG00000198843,4135
ENSG00000163645,2075
ENSG00000181788,2619
ENSG00000214237,2355
ENSG00000260234,1329
ENSG00000163646,3351
ENSG00000144893,12619
ENSG00000174946,1810
ENSG00000174944,2890
ENSG00000138271,1566
ENSG00000181631,2765
ENSG00000169313,2337
ENSG00000152580,11727
ENSG00000197953,5071
ENSG00000114771,1632
ENSG00000198829,4181
ENSG00000152601,9989
ENSG00000169860,6309
ENSG00000181467,8402
ENSG00000114790,5459
ENSG00000174953,10552
ENSG00000174948,5527
ENSG00000196549,9863
ENSG00000240045,783
ENSG00000114805,7177
ENSG00000174928,2061
ENSG00000284952,3746
ENSG00000169359,10040
ENSG00000163655,8765
ENSG00000169282,6822
ENSG00000114850,5179
ENSG00000163659,4800
ENSG00000197980,5602
ENSG00000163660,8729
ENSG00000197415,6543
ENSG00000163661,1884
ENSG00000168779,5011
ENSG00000174891,5117
ENSG00000178053,3735
ENSG00000168827,11789
ENSG00000079257,1459
ENSG00000118849,2029
ENSG00000118855,5227
ENSG00000283154,4409
ENSG00000214216,2932
ENSG00000151967,7645
ENSG00000168811,1955
ENSG00000180044,2792
ENSG00000248710,3360
ENSG00000068885,7080
ENSG00000113810,8164
ENSG00000213186,7822
ENSG00000186432,13643
ENSG00000179674,1289
ENSG00000163590,12442
ENSG00000169255,7816
ENSG00000169251,4869
ENSG00000196542,3745
ENSG00000182447,1434
ENSG00000090402,6139
ENSG00000121871,5274
ENSG00000114200,3072
ENSG00000169064,4565
ENSG00000114204,2835
ENSG00000174776,3891
ENSG00000114209,3275
ENSG00000163536,2128
ENSG00000173905,4584
ENSG00000085276,9260
ENSG00000184378,1671
ENSG00000085274,5165
ENSG00000171757,5276
ENSG00000188306,1827
ENSG00000114248,3125
ENSG00000187033,2512
ENSG00000008952,7928
ENSG00000173890,4381
ENSG00000173889,16919
ENSG00000163558,5778
ENSG00000136603,7782
ENSG00000285218,1545
ENSG00000013297,4321
ENSG00000013293,10496
ENSG00000163577,5541
ENSG00000163581,3411
ENSG00000154310,11448
ENSG00000075651,12860
ENSG00000186329,2719
ENSG00000075420,13324
ENSG00000121853,3088
ENSG00000121858,3441
ENSG00000144959,4808
ENSG00000114346,5499
ENSG00000144962,2129
ENSG00000169760,10148
ENSG00000177694,13546
ENSG00000177565,11689
ENSG00000197584,3542
ENSG00000275163,1391
ENSG00000172667,11298
ENSG00000121879,17189
ENSG00000171121,8979
ENSG00000121864,6819
ENSG00000171109,5945
ENSG00000114450,7975
ENSG00000136518,3668
ENSG00000136522,1365
ENSG00000136521,5871
ENSG00000288698,3193
ENSG00000058056,15296
ENSG00000114757,10236
ENSG00000163728,7900
ENSG00000284862,10601
ENSG00000114416,11874
ENSG00000205981,3586
ENSG00000181449,2512
ENSG00000058063,9187
ENSG00000043093,8307
ENSG00000078070,4311
ENSG00000078081,3785
ENSG00000053524,20568
ENSG00000176597,8125
ENSG00000172578,10543
ENSG00000114796,8650
ENSG00000163872,10232
ENSG00000283765,3058
ENSG00000180834,2362
ENSG00000175193,2268
ENSG00000114770,11365
ENSG00000186090,2068
ENSG00000178084,1699
ENSG00000186038,2523
ENSG00000145191,7203
ENSG00000161202,6302
ENSG00000161203,4756
ENSG00000161204,5207
ENSG00000145198,5730
ENSG00000214160,3455
ENSG00000284753,975
ENSG00000284917,3445
ENSG00000163888,1452
ENSG00000145194,4729
ENSG00000175166,4960
ENSG00000114867,8752
ENSG00000175182,8925
ENSG00000114859,8522
ENSG00000163882,3146
ENSG00000090534,2705
ENSG00000090539,6620
ENSG00000182580,4530
ENSG00000177383,1701
ENSG00000156931,10366
ENSG00000187068,7159
ENSG00000113790,4651
ENSG00000073803,12604
ENSG00000163900,8668
ENSG00000163898,4097
ENSG00000163904,7102
ENSG00000073792,5330
ENSG00000136527,13084
ENSG00000244405,5773
ENSG00000058866,10975
ENSG00000213139,2080
ENSG00000113838,3398
ENSG00000090520,9385
ENSG00000283149,501
ENSG00000145192,2216
ENSG00000090512,2024
ENSG00000113905,4993
ENSG00000113889,4603
ENSG00000156976,6130
ENSG00000163918,2997
ENSG00000181092,4599
ENSG00000073849,11142
ENSG00000175077,2214
ENSG00000127241,13122
ENSG00000136514,1501
ENSG00000157005,607
ENSG00000198471,1346
ENSG00000113916,5936
ENSG00000285938,1144
ENSG00000145012,25535
ENSG00000188001,9538
ENSG00000073282,7479
ENSG00000090530,5573
ENSG00000163347,3628
ENSG00000113946,3330
ENSG00000198398,1473
ENSG00000196083,11558
ENSG00000205835,3962
ENSG00000188729,3219
ENSG00000188958,3850
ENSG00000152492,9183
ENSG00000253548,294
ENSG00000114279,7348
ENSG00000180611,3063
ENSG00000127252,1166
ENSG00000187527,6206
ENSG00000127249,8988
ENSG00000198836,9040
ENSG00000114315,2059
ENSG00000178772,3025
ENSG00000172061,5938
ENSG00000178732,3534
ENSG00000133657,13254
ENSG00000145014,4561
ENSG00000041802,4801
ENSG00000185112,3155
ENSG00000173950,5396
ENSG00000114331,11096
ENSG00000184203,5123
ENSG00000189058,2022
ENSG00000176945,6837
ENSG00000145113,21021
ENSG00000061938,12245
ENSG00000072274,7794
ENSG00000163958,2429
ENSG00000163959,5263
ENSG00000161217,7967
ENSG00000272741,708
ENSG00000213123,1246
ENSG00000273331,964
ENSG00000145107,1899
ENSG00000163960,11247
ENSG00000163961,5347
ENSG00000214097,1846
ENSG00000185798,1797
ENSG00000174013,5976
ENSG00000174004,2902
ENSG00000163964,4427
ENSG00000174007,2158
ENSG00000180370,6270
ENSG00000119231,7035
ENSG00000114503,5111
ENSG00000270170,870
